claim,value,ci_low,ci_high,p,n,cohort,script
C-index TCGA-KIRC_train,0.7693928831968874,,,,422.0,TCGA-KIRC_train,08_prognostic_model.py
auc_1yr TCGA-KIRC_train,0.8173170597603601,,,,422.0,TCGA-KIRC_train,08_prognostic_model.py
auc_3yr TCGA-KIRC_train,0.8094353371611536,,,,422.0,TCGA-KIRC_train,08_prognostic_model.py
auc_5yr TCGA-KIRC_train,0.8261056208107004,,,,422.0,TCGA-KIRC_train,08_prognostic_model.py
C-index TCGA-KIRC_heldout,0.6927781013395458,,,,182.0,TCGA-KIRC_heldout,08_prognostic_model.py
auc_1yr TCGA-KIRC_heldout,0.8016148889665834,,,,182.0,TCGA-KIRC_heldout,08_prognostic_model.py
auc_3yr TCGA-KIRC_heldout,0.7222864503446015,,,,182.0,TCGA-KIRC_heldout,08_prognostic_model.py
auc_5yr TCGA-KIRC_heldout,0.7042154987134799,,,,182.0,TCGA-KIRC_heldout,08_prognostic_model.py
C-index Braun_CheckMate_metastatic_ICB,0.4405773857257418,,,,311.0,Braun_CheckMate_metastatic_ICB,08_prognostic_model.py
ccRCC held-out KM (test),logrank_p,,,8.558589900217129e-05,182.0,TCGA-KIRC_heldout,08_prognostic_model.py
ccRCC Braun external KM,logrank_p,,,0.3248541699647745,311.0,Braun_metastatic_ICB,08_prognostic_model.py
ccRCC 10-fold CV C-index (train),0.7253633380771485,,,,422.0,TCGA-KIRC_train,08_prognostic_model.py
multivariable risk HR/SD (adj stage/grade/age),2.0308793677156047,,,2.9535247510692244e-19,604.0,TCGA-KIRC,09_nomogram_riskgroup.py
sanity signature_heldout_cindex,0.6927781013395458,,,,,TCGA-KIRC_heldout,08_prognostic_model.py
sanity random_gene_cindex_mean,0.5556371578334304,,,,,TCGA-KIRC_heldout,08_prognostic_model.py
sanity random_gene_cindex_p95,0.6240099009900989,,,,,TCGA-KIRC_heldout,08_prognostic_model.py
sanity panTAM_cindex,0.5757134536983111,,,,,TCGA-KIRC_heldout,08_prognostic_model.py
sanity Obradovic_cindex,0.5455736750145603,,,,,TCGA-KIRC_heldout,08_prognostic_model.py
PCa BCR(PFI) ATF3_NFkB HR/SD,0.8025863461048952,0.6416037862251736,1.0039604765174208,0.0541845141243132,550.0,TCGA-PRAD,10_pca_bcr.py
PCa BCR(PFI) complement_C1Q HR/SD,1.0556545075394954,0.9271068895761038,1.2020258416998593,0.4136282120397259,550.0,TCGA-PRAD,10_pca_bcr.py
PCa BCR(PFI) RCC_skew_CORE HR/SD,1.1694924975384118,1.0345269972619062,1.3220657415597383,0.0123317232147264,550.0,TCGA-PRAD,10_pca_bcr.py
PCa BCR(PFI) CLEC_LAM8 HR/SD,1.1772305098265388,1.0323389255887196,1.3424580231498302,0.0148950083595916,550.0,TCGA-PRAD,10_pca_bcr.py
PCa BCR(PFI) partA_signature HR/SD,1.5995916020004777,1.342599573262134,1.9057754405310592,1.4653552929722536e-07,550.0,TCGA-PRAD,10_pca_bcr.py
riskgroup immune CD8_Tcell delta,0.0060023724403694,,,0.0004860773711384,,TCGA-KIRC,09_nomogram_riskgroup.py
riskgroup immune cytotoxicity delta,0.0010687823749262,,,0.0451429325201,,TCGA-KIRC,09_nomogram_riskgroup.py
riskgroup immune exhaustion delta,-0.003387675537007,,,0.2608094260612686,,TCGA-KIRC,09_nomogram_riskgroup.py
riskgroup immune Treg delta,0.0,,,1.0,,TCGA-KIRC,09_nomogram_riskgroup.py
riskgroup immune MHC_I delta,0.0146483680968984,,,0.0778580093556651,,TCGA-KIRC,09_nomogram_riskgroup.py
riskgroup immune MHC_II delta,0.0086467914710114,,,0.2619503072248799,,TCGA-KIRC,09_nomogram_riskgroup.py
riskgroup immune panTAM delta,0.0127519506917579,,,0.630480573291279,,TCGA-KIRC,09_nomogram_riskgroup.py
riskgroup immune immune_infiltration delta,0.0070185561602517,,,0.0451797054937563,,TCGA-KIRC,09_nomogram_riskgroup.py
ext validation C-index (CPTAC),0.6932440657334145,,,,110.0,CPTAC_ccRCC_primary,11_model_additions.py
ext validation AUC 1yr (CPTAC),0.7291666666666667,,,,110.0,CPTAC_ccRCC_primary,11_model_additions.py
ext validation AUC 3yr (CPTAC),0.6753506662659051,,,,110.0,CPTAC_ccRCC_primary,11_model_additions.py
ext validation KM logrank p (CPTAC),logrank,,,0.096,110.0,CPTAC_ccRCC_primary,11_model_additions.py
drug high-vs-low log-IC50 sunitinib,-0.0174779552805302,,,0.9876230682809805,604.0,TCGA-KIRC,11_oncopredict.R
drug high-vs-low log-IC50 pazopanib,-0.0408870747397691,,,0.1593821734629749,604.0,TCGA-KIRC,11_oncopredict.R
drug high-vs-low log-IC50 axitinib,-0.1192751212643186,,,0.0006819364330847,604.0,TCGA-KIRC,11_oncopredict.R
drug high-vs-low log-IC50 cabozantinib,-0.1532361060570415,,,4.50504867717557e-08,604.0,TCGA-KIRC,11_oncopredict.R
drug high-vs-low log-IC50 temsirolimus,-0.1470254420073609,,,3.1750367732885334e-05,604.0,TCGA-KIRC,11_oncopredict.R
TIDE high-vs-low TIDE,0.2402132877677051,,,1.3188087516546205e-08,604.0,TCGA-KIRC,11_model_additions.py
TIDE high-vs-low Dysfunction,0.3483263649968602,,,6.876686382565418e-18,604.0,TCGA-KIRC,11_model_additions.py
